Tweet	Offensive	Targeted	Target
@keyboardriot La ancom, salariile sunt mai mari decât la romatsa	NOT	UNT	NULL
„Din culisele cinematografiei“. Cum a scăpat actorul Constantin Codrescu de teroarea Securităţii...	NOT	UNT	NULL
Ludovic*, în plm.	NOT	UNT	NULL
@piticu21 Clarvazatorule!	NOT	UNT	NULL
@stirbei Sa trăiești. La mine, la țară, la Teleorman, nu cresteau cocoși, decat cocoși. Uite asa ne-am facut noi mari cu saramura cu cotoi de cocoș.	NOT	UNT	NULL
Imaginati-va că azi ar fi ca Ministru al Sănătății Eugen Nicolăescu in locul lui Victor Costache. Coșmar!	NOT	UNT	NULL
Dacă cineva pune o întrebare cu două variante iar răspunsul tău e o a treia variantă, continuă-ți drumul, în tăcere.	NOT	UNT	NULL
@LTeglas Eu am doar ceva cu cei care ii ridica in slavi pe chinezi. Parca au complexul Stockholm. Normal ca e ok de oriunde ar veni vaccinul.	NOT	UNT	NULL
Lazio a marit oferta pentru Ianis Hagi: "Transferul e pe ultima suta de metri"	NOT	UNT	NULL
Șefa UPU de la Spitalul de pediatrie din Iași poartă masca ca un fund, respectiv sub nas.	NOT	UNT	NULL
@b0bsacaman0 @stefanheisu12 @AndreiCismaru La filmul ăla despre un meci de fotbal într-o cupă europeana, o echipa englezească (cred că Arsenal) și una din Spania (o fi Sevilla?) au făcut amestec de zeci de mii de suporteri înghesuiți ca la orice meci. Zece pe centimetru pătrat. Scuze, nu mai știu meciul recent.	NOT	UNT	NULL
Documente false descoperite la controlul de frontieră #politiadefrontiera via @FrontieraRO	NOT	UNT	NULL
@vlad_nicoara @clotilde_armand Eu daca acuma fac o masina si testez farurile tu imi zici ca nu-i buna ca nu are motor. Romanian logic in a nutshell.	NOT	UNT	NULL
@keyboardriot @ZoliBara Sper că nu e fake news	NOT	UNT	NULL
@ingerisidemoni Idem ... dar lumea vrea sa fie mințita , din păcate .. dacă i spui la unu ești urat și prost sa vezi ce repede face bot, la fel si in cazul in care ai spui la unu ca e incompetent sau ( la cele care ți place ție ) dacă i spun la una ca pute ...	NOT	UNT	NULL
@RoxanaPisicutza Numele meu este Dan si vreau sa stii ca eu caut o relatie de prietenie, discreta, plina de sex ocazional.	NOT	UNT	NULL
@victorciutacu Vanam damele de Companie , incercam sa le coordonam si sa facem din ele femei serioase , de casa  . Noi incercam dc reusim , reusim daca nu aia e	NOT	UNT	NULL
Trei noi decese din cauza coronavirus, în România. Bilanțul la nivel național ajunge miercuri la 17 persoane	NOT	UNT	NULL
Treaba cu stirea asta e ca avem acces la substanta si o sa putem face si noi daca e buna	NOT	UNT	NULL
Breaking!!! In toamnă posibil vaccin românesc pentru covid. Timisoara!	NOT	UNT	NULL
dați un bip când vedeți primul influencer recunoscând că a realizat că fost prost în ultimii ani...	NOT	UNT	NULL
@ZoliBara @SorinPaun3 @KlausIohannis Bai oligofrenule, SARS este mult, mult mai agresiv dar mai putin contagios decât COVID, si tu compari CoVid cu Ebola? Esti bolnav psihic. Da cu rudotel, dementule!	OFF	TIN	IND
@IonHermeneanu Mulțumesc din suflet! 🤗	NOT	UNT	NULL
Google Podcasts ajunge şi pe iOS, primeşte o interfaţă nouă în toate versiunile	NOT	UNT	NULL
ANM: Cod portocaliu de viscol şi vânt puternic în mare parte din țară -	NOT	UNT	NULL
@MihaiHristea @Costindte Baieti eu trebuie sa va refuz...sunt in autoizolare! Dar pot sa o trimit pe soacra? 🤪	NOT	UNT	NULL
Gică Hagi îmi da o doză de optimism prin clipul ăsta. Mulțam pt share Emi!	NOT	UNT	NULL
pe strada de lângă casa mea un canal local filmează cum trec oamenii, dacă trece vreun cuplu care face jogging sau o pereche de părinți care au scos la plimbare copii - filmează, dacă trece o singură persoană, sau nu trece nimeni câte 5-10 minute(ce tot se întâmplă) - nu filmează	NOT	UNT	NULL
Londra numai cu armata o poți ține în casă. Același trafic infernal.	NOT	UNT	NULL
ce fraier, pai ce stiau aia de acum 100 de ani, ce stiu eu azi??	NOT	UNT	NULL
A făcut cineva un calcul câți oameni o sa dea in ciroză din cauza depresiei de virus și a izolării forțate? (M-am abținut sa zic “cu nevasta” 😬)	NOT	UNT	NULL
cui ii plac cacaturile de genu sa mi dea n plm unfollow	NOT	UNT	NULL
PNL îmi amintește de cea mai mare mizerie din politica internă postdecembristă: CDR. Vă amintiți de panaramele alea, PNȚCD, USD, PLM. Ciorbea & compania. Era anul și Guvernul #BPÎRL	NOT	UNT	NULL
care ati facut roots struggle tweets bag pula in voi e numa o chestiune de timp pana cand ajung pe cont, singura cititoare de homestuck din tara	OFF	TIN	GRP
Sa nu uitam ca am ajuns aici pentru ca cineva care facea foamea in comunismul chinez, a mancat ce a nimerit si s-a contaminat. Orice altceva e pranoia. #ChineseVirus  #comunismuleboala	NOT	UNT	NULL
Conform proiectului de Ordin, publicat pe site-ul MMAP la câteva zile după confirmarea primului caz de coronavirus în România, peste 14.000 de căprioare care ar urma să fie împușcate de vânători, dacă documentul va fi aprobat, sunt femele și pui.	NOT	UNT	NULL
@TanarulD Iar presiunea uriașă asupra cadrelor medicale(obligate să lucreze in cond improprii)și a populatiei(supusă unor restricții exagerate),conduce la cresterea nr de imbolnaviri,demisii,decese, imposibilit de a mai salva pe nimeni,nici de cov,nici de hepatită saucancer. Imunizarea nat	NOT	UNT	NULL
Cine este Nelu Tataru, propus la Ministerul Sanatatii	NOT	UNT	NULL
La Stampa: Ajutorul rusesc acordat Italiei este aproape inutil	NOT	UNT	NULL
@santaromica De unde stii, ca in articol nu se mentioneaza...	NOT	UNT	NULL
Perchezitii in trei judete si in Bucuresti la persoane care sustineau ca au teste rapide de COVID-19	NOT	UNT	NULL
@Camelia30_0 știe el să flămânzească cu stil, da' nu știe că românu' să golească rafturi cu stil :))	NOT	UNT	NULL
Cea mai mare criză economică din timpul vieții noastre. Cu ce scop? Ce vor să realizeze prin asta? Habar nu avem. Cel mai probabil vor să șteargă toate libertățile noastre și să pună in mișcare primul guvern global.	NOT	UNT	NULL
@raduneagu_ro Și apropo de timp aparent nici tu nu dormi la "ora asta"😂😂	NOT	UNT	NULL
Franța: Elevii dispun de mai multe metode pentru a-și face lecțiile în perioada de carantină	NOT	UNT	NULL
@trivialuvv Nu am mai mancat o shaorma de vreo 2 ani	NOT	UNT	NULL
Ministerul Sănătății precizează că măștile textile şi cele fabricate manual nu ne protejează de coronavirus...	NOT	UNT	NULL
@itmorar Cred ca e românesc, in zonele unde se poartă cămașă și nu maieu cu găurele :)	NOT	UNT	NULL
